,track.id,artist.id,artist.name,track.name,addedAt,track.popularity,artist.popularity,artist.genres,track.explicit,trackAttributes.duration_ms,trackAttributes.tempo,trackAttributes.mode,trackAttributes.key,trackAttributes.time_signature,trackAttributes.loudness,trackAttributes.acousticness,trackAttributes.danceability,trackAttributes.energy,trackAttributes.instrumentalness,trackAttributes.liveness,trackAttributes.speechiness
0,0lVdukU9ejbFQwZIhg47hx,3iTsJGG39nMg9YiolUgLMQ,Morrissey,Everyday Is Like Sunday - 2011 Remaster,2020-02-24T20:16:19Z,49,67,"britpop,dance rock,rock,alternative rock,permanent wave,new wave,madchester",False,215267,117.064,1,0,4,-5.126,0.00345,0.6,0.869,0.441,0.311,0.0302
1,7HwHsu3cWrSzF6r11yyLs5,6zPcUezmkw9aGjoRlBxYxw,Wall Of Voodoo,Mona,2020-02-22T22:29:29Z,10,41,"dance rock,post-punk,new romantic,new wave",False,298867,113.519,1,2,4,-16.644,0.0163,0.581,0.531,0.392,0.164,0.0316
2,0iGNd4z2m80OjE2JcWmBSs,5BcZ22XONcRoLhTbZRuME1,The Moody Blues,The Voice,2020-02-10T20:01:57Z,40,65,"country rock,symphonic rock,hard rock,progressive rock,rock,album rock,psychedelic rock,art rock,folk rock,mellow gold,soft rock,classic rock,british invasion,folk,singer-songwriter",False,316560,152.334,1,0,4,-8.116,0.076,0.439,0.831,0.000462,0.127,0.045
3,1kChx0uGraDIIyOVtBVawU,4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,Watch Me Bleed,2020-02-10T19:51:18Z,45,75,"new wave pop,dance rock,rock,soft rock,new romantic,synthpop,permanent wave,new wave",False,255933,159.057,1,0,4,-6.117,0.0107,0.49,0.866,0.000636,0.106,0.0297
4,5WegjOIvnpNoX6uHtc8zyl,5odf7hjI7hyvAw66tmxhGF,Roger Daltrey,After the Fire,2020-02-02T23:53:31Z,26,42,album rock,False,276067,115.8,1,1,4,-13.692,0.0678,0.602,0.6,0,0.104,0.031
5,3AOu2lCNGgeDRXwOVlDDr9,6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,Young Girl's Heart,2020-01-15T22:08:06Z,16,72,"country rock,roots rock,hard rock,rock,album rock,psychedelic rock,art rock,folk rock,mellow gold,soft rock,classic rock,heartland rock,singer-songwriter,blues rock",False,218067,128.961,1,9,4,-13.113,0.576,0.655,0.509,0.00132,0.0683,0.0307
6,1ApsBaz9fpPptVZxgqtOy3,3fhOTtm0LBJ3Ojn4hIljLo,Roxy Music,Oh Yeah!,2020-01-03T21:41:56Z,53,66,"new wave pop,melancholia,dance rock,rock,album rock,soft rock,art rock,mellow gold,glam rock,new romantic,classic rock,new wave,singer-songwriter,protopunk",False,290827,140.03,1,0,4,-8.415,0.195,0.608,0.548,0.0184,0.136,0.0276
7,0l7uOgbQ63LDcfZqr9Bjle,0qEcf3SFlpRcb3lK3f2GZI,Grand Funk Railroad,So You Won't Have To Die - Remastered 2002,2019-12-30T19:15:30Z,12,60,"country rock,roots rock,symphonic rock,hard rock,rock,album rock,psychedelic rock,art rock,folk rock,mellow gold,soft rock,classic rock,blues rock",False,201667,127.247,1,0,4,-10.687,0.0614,0.477,0.455,9.69e-05,0.0799,0.0424
8,2xX7CqmOYdQhGZJGjJ9m7K,1iTlOqIrZy8DlvCPJY2sjS,Golden Earring,Candy's Going Bad,2019-12-30T18:35:11Z,10,61,"rock,album rock,dutch prog,classic rock,nederpop,dutch rock",False,373800,134.486,1,2,4,-13.461,0.1,0.4,0.527,6.49e-06,0.161,0.0398
9,3Y5bjYf9fpBfywgQyTCcEH,2bt3I0VkmYuPvP57sxokab,Stiff Little Fingers,Is That What You Fought the War For - 1999 Remaster,2019-12-26T18:32:46Z,18,51,"pub rock,punk,oi,ska",False,236587,141.791,1,4,4,-6.311,0.0279,0.448,0.869,1.72e-06,0.188,0.0511
